"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"AY","FIN","AY4029","FIN4029","4029","LHR","EGLL","3","2023-06-07 12:30","MIA","KMIA",NA,566
"AC","ACA","AC7402","ACA7402","7402","LHR","EGLL","2","2023-06-07 12:30","BKK","VTBS",NA,690
"VS","VIR","VS231","VIR231","231","LHR","EGLL","3","2023-06-07 12:30","AUS","KAUS",NA,615
"AI","AIC","AI128","AIC128","128","LHR","EGLL","2","2023-06-07 12:30","BOM","VABB",NA,530
"BA","BAW","BA217","BAW217","217","LHR","EGLL","5","2023-06-07 12:35","IAD","KIAD",NA,480
"AA","AAL","AA6816","AAL6816","6816","LHR","EGLL","5","2023-06-07 12:35","BCN","LEBL",NA,125
"LH","DLH","LH6834","DLH6834","6834","LHR","EGLL","2","2023-06-07 12:40","YHZ","CYHZ",NA,410
"AA","AAL","AA6545","AAL6545","6545","LHR","EGLL","5","2023-06-07 12:40","MUC","EDDM",NA,115
"SQ","SIA","SQ2537","SIA2537","2537","LHR","EGLL","3","2023-06-07 12:45","LAX","KLAX",NA,670
"AA","AAL","AA6415","AAL6415","6415","LHR","EGLL","5","2023-06-07 12:45","ACC","DGAA",NA,400
"BA","BAW","BA470","BAW470","470","LHR","EGLL","5","2023-06-07 12:45","VCE","LIPZ",NA,140
"VS","VIR","VS165","VIR165","165","LHR","EGLL","3","2023-06-07 12:45","MBJ","MKJS",NA,585
"AA","AAL","AA6669","AAL6669","6669","LHR","EGLL","5","2023-06-07 12:45","MAA","VOMM",NA,615
"IB","IBE","IB7388","IBE7388","7388","LHR","EGLL","5","2023-06-07 12:50","DFW","KDFW",NA,600
"AA","AAL","AA6896","AAL6896","6896","LHR","EGLL","5","2023-06-07 12:50","AMS","EHAM",NA,85
"BA","BAW","BA518","BAW518","518","LHR","EGLL","5","2023-06-07 12:50","LIS","LPPT",NA,165
"AA","AAL","AA6547","AAL6547","6547","LHR","EGLL","5","2023-06-07 12:50","CPH","EKCH",NA,115
"MH","MAS","MH9828","MAS9828","9828","LHR","EGLL","5","2023-06-07 12:55","EDI","EGPH",NA,85
"AA","AAL","AA6553","AAL6553","6553","LHR","EGLL","5","2023-06-07 12:55","IST","LTFM",NA,250
"AA","AAL","AA6417","AAL6417","6417","LHR","EGLL","5","2023-06-07 12:55","DXB","OMDB",NA,430
"UA","UAL","UA147","UAL147","147","LHR","EGLL","2","2023-06-07 13:00","EWR","KEWR",NA,490
"JL","JAL","JL7853","JAL7853","7853","LHR","EGLL","3","2023-06-07 13:00","OSL","ENGM",NA,130
"QR","QTR","QR2255","QTR2255","2255","LHR","EGLL","3","2023-06-07 13:00","PHL","KPHL",NA,473
"ME","MEA","ME202","MEA202","202","LHR","EGLL","3","2023-06-07 13:00","BEY","OLBA",NA,275
"AA","AAL","AA6804","AAL6804","6804","LHR","EGLL","5","2023-06-07 13:05","MAD","LEMD",NA,145
"LH","DLH","LH9354","DLH9354","9354","LHR","EGLL","2","2023-06-07 13:05","ORD","KORD",NA,535
"FI","ICE","FI451","ICE451","451","LHR","EGLL","2","2023-06-07 13:05","KEF","BIKF",NA,190
"BA","BAW","BA976","BAW976","976","LHR","EGLL","5","2023-06-07 13:10","HAJ","EDDV",NA,95
"IB","IBE","IB7728","IBE7728","7728","LHR","EGLL","5","2023-06-07 13:10","INV","EGPE",NA,100
"EI","EIN","EI8877","EIN8877","8877","LHR","EGLL","5","2023-06-07 13:10","JFK","KJFK",NA,470
"QR","QTR","QR5883","QTR5883","5883","LHR","EGLL","5","2023-06-07 13:15","YYZ","CYYZ",NA,460
"QR","QTR","QR5934","QTR5934","5934","LHR","EGLL","5","2023-06-07 13:15","GVA","LSGG",NA,100
"AA","AAL","AA6888","AAL6888","6888","LHR","EGLL","5","2023-06-07 13:15","BER","EDDB",NA,110
"AI","AIC","AI112","AIC112","112","LHR","EGLL","2","2023-06-07 13:15","DEL","VIDP",NA,505
"AY","FIN","AY5930","FIN5930","5930","LHR","EGLL","5","2023-06-07 13:20","ARN","ESSA",NA,155
"AF","AFR","AF9663","AFR9663","9663","LHR","EGLL","3","2023-06-07 13:20","JFK","KJFK",NA,485
"AA","AAL","AA6481","AAL6481","6481","LHR","EGLL","3","2023-06-07 13:20","PRG","LKPR",NA,120
"BA","BAW","BA5","BAW5","5","LHR","EGLL","5","2023-06-07 13:20","HND","RJTT",NA,815
"AC","ACA","AC6921","ACA6921","6921","LHR","EGLL","2","2023-06-07 13:25","DUB","EIDW",NA,85
"AY","FIN","AY632","FIN632","632","LHR","EGLL","5","2023-06-07 13:25","ATH","LGAV",NA,225
"EI","EIN","EI8306","EIN8306","8306","LHR","EGLL","5","2023-06-07 13:30","BHD","EGAC",NA,85
"JU","ASL","JU381","ASL381","381","LHR","EGLL","4","2023-06-07 13:30","BEG","LYBE",NA,160
"OU","CTN","OU5483","CTN5483","5483","LHR","EGLL","2","2023-06-07 13:30","FRA","EDDF",NA,95
"LH","DLH","LH2475","DLH2475","2475","LHR","EGLL","2","2023-06-07 13:35","MUC","EDDM",NA,110
"AA","AAL","AA6462","AAL6462","6462","LHR","EGLL","5","2023-06-07 13:35","FRA","EDDF",NA,105
"BA","BAW","BA690","BAW690","690","LHR","EGLL","3","2023-06-07 13:35","LJU","LJLJ",NA,135
"IB","IBE","IB7325","IBE7325","7325","LHR","EGLL","5","2023-06-07 13:40","PHL","KPHL",NA,475
"DL","DAL","DL17","DAL17","17","LHR","EGLL","3","2023-06-07 12:55","DTW","KDTW",45,505
"OS","AUA","OS7813","AUA7813","7813","LHR","EGLL","2","2023-06-07 13:40","IAH","KIAH",NA,610
"BA","BAW","BA842","BAW842","842","LHR","EGLL","5","2023-06-07 13:40","SPU","LDSP",NA,160
"BA","BAW","BA1312","BAW1312","1312","LHR","EGLL","5","2023-06-07 13:45","ABZ","EGPD",NA,95
"UA","UAL","UA9759","UAL9759","9759","LHR","EGLL","2","2023-06-07 13:45","ZRH","LSZH",NA,105
"ET","ETH","ET1739","ETH1739","1739","LHR","EGLL","2","2023-06-07 13:45","LIS","LPPT",NA,160
