"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"JL","JAL","JL7879","JAL7879",7879,"LHR","EGLL","3","2023-06-05 15:35","GOT","ESGG",120
"BA","BAW","BA7067","BAW7067",7067,"LHR","EGLL","5","2023-06-05 15:50","MAD","LEMD",150
"CZ","CSN","CZ7224","CSN7224",7224,"LHR","EGLL","5","2023-06-05 15:10","PKX","ZBAD",685
"AA","AAL","AA6899","AAL6899",6899,"LHR","EGLL","5","2023-06-05 15:20","ZRH","LSZH",105
"UA","UAL","UA8219","UAL8219",8219,"LHR","EGLL","2","2023-06-05 15:55","YYZ","CYYZ",475
"AY","FIN","AY5459","FIN5459",5459,"LHR","EGLL","5","2023-06-05 15:45","LAX","KLAX",670
"OS","AUA","OS7797","AUA7797",7797,"LHR","EGLL","2","2023-06-05 16:00","EWR","KEWR",490
"WB","RWD","WB1135","RWD1135",1135,"LHR","EGLL","4","2023-06-05 16:00","DOH","OTHH",405
"IB","IBE","IB7565","IBE7565",7565,"LHR","EGLL","5","2023-06-05 15:30","BHD","EGAC",85
"BA","BAW","BA704","BAW704",704,"LHR","EGLL","3","2023-06-05 15:30","VIE","LOWW",145
"AA","AAL","AA6759","AAL6759",6759,"LHR","EGLL","5","2023-06-05 15:50","BCN","LEBL",125
"DL","DAL","DL5920","DAL5920",5920,"LHR","EGLL","3","2023-06-05 16:05","TPA","KTPA",590
"AA","AAL","AA6580","AAL6580",6580,"LHR","EGLL","5","2023-06-05 16:05","NCE","LFMN",125
"AA","AAL","AA7019","AAL7019",7019,"LHR","EGLL","5","2023-06-05 16:05","CVG","KCVG",520
"QF","QFA","QF3539","QFA3539",3539,"LHR","EGLL","5","2023-06-05 16:00","BER","EDDB",115
"BA","BAW","BA554","BAW554",554,"LHR","EGLL","5","2023-06-05 16:15","FCO","LIRF",160
"AA","AAL","AA9004","AAL9004",9004,"LHR","EGLL","3","2023-06-05 16:10","HEL","EFHK",170
"BA","BAW","BA422","BAW422",422,"LHR","EGLL","3","2023-06-05 16:10","VLC","LEVC",145
"QR","QTR","QR5925","QTR5925",5925,"LHR","EGLL","5","2023-06-05 16:10","AGP","LEMG",175
"IB","IBE","IB7622","IBE7622",7622,"LHR","EGLL","3","2023-06-05 15:45","BDA","TXKF",435
"QR","QTR","QR5931","QTR5931",5931,"LHR","EGLL","5","2023-06-05 16:10","PMI","LEPA",145
"AY","FIN","AY5513","FIN5513",5513,"LHR","EGLL","5","2023-06-05 16:20","JFK","KJFK",480
"BA","BAW","BA4006","BAW4006",4006,"LHR","EGLL","2","2023-06-05 16:15","LDY","EGAE",85
"NZ","ANZ","NZ9835","ANZ9835",9835,"LHR","EGLL","2","2023-06-05 16:15","LAX","KLAX",665
"QR","QTR","QR9706","QTR9706",9706,"LHR","EGLL","3","2023-06-05 16:20","BLL","EKBI",100
"QF","QFA","QF3565","QFA3565",3565,"LHR","EGLL","5","2023-06-05 16:05","ABZ","EGPD",95
"SV","SVA","SV122","SVA122",122,"LHR","EGLL","4","2023-06-05 16:15","RUH","OERK",405
"AY","FIN","AY424","FIN424",424,"LHR","EGLL","5","2023-06-05 15:35","NAP","LIRN",165
