"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"UA","UAL","UA6872","UAL6872","6872","LHR","EGLL","2","2023-06-06 13:45","LIS","LPPT",160
"IB","IBE","IB7557","IBE7557","7557","LHR","EGLL","5","2023-06-06 13:55","MAN","EGCC",65
"AC","ACA","AC861","ACA861","861","LHR","EGLL","2","2023-06-06 14:10","YVR","CYVR",575
"AC","ACA","AC3716","ACA3716","3716","LHR","EGLL","2","2023-06-06 14:10","SFO","KSFO",655
"MH","MAS","MH9872","MAS9872","9872","LHR","EGLL","5","2023-06-06 14:10","LYS","LFLL",100
"IB","IBE","IB4120","IBE4120","4120","LHR","EGLL","3","2023-06-06 14:10","SEA","KSEA",600
"BA","BAW","BA844","BAW844","844","LHR","EGLL","5","2023-06-06 13:50","DBV","LDDU",170
"BA","BAW","BA7810","BAW7810","7810","LHR","EGLL","2","2023-06-06 14:15","IOM","EGNS",85
"AF","AFR","AF3587","AFR3587","3587","LHR","EGLL","3","2023-06-06 13:55","ATL","KATL",575
"IB","IBE","IB7464","IBE7464","7464","LHR","EGLL","5","2023-06-06 14:10","MAD","LEMD",145
"AA","AAL","AA6736","AAL6736","6736","LHR","EGLL","5","2023-06-06 14:05","ABZ","EGPD",95
"EI","EIN","EI165","EIN165","165","LHR","EGLL","2","2023-06-06 14:20","DUB","EIDW",85
"BA","BAW","BA316","BAW316","316","LHR","EGLL","5","2023-06-06 14:20","CDG","LFPG",80
"IB","IBE","IB7514","IBE7514","7514","LHR","EGLL","5","2023-06-06 14:00","WAW","EPWA",145
"BA","BAW","BA716","BAW716","716","LHR","EGLL","5","2023-06-06 14:20","ZRH","LSZH",105
"QF","QFA","QF8002","QFA8002","8002","LHR","EGLL","3","2023-06-06 14:20","DXB","OMDB",420
"QF","QFA","QF3517","QFA3517","3517","LHR","EGLL","3","2023-06-06 14:25","MRS","LFML",110
"AY","FIN","AY5789","FIN5789","5789","LHR","EGLL","3","2023-06-06 14:25","ORD","KORD",510
"AA","AAL","AA6726","AAL6726","6726","LHR","EGLL","5","2023-06-06 14:25","AMS","EHAM",80
"AY","FIN","AY5917","FIN5917","5917","LHR","EGLL","5","2023-06-06 14:25","BCN","LEBL",125
"BA","BAW","BA197","BAW197","197","LHR","EGLL","5","2023-06-06 14:35","IAH","KIAH",615
"AY","FIN","AY5515","FIN5515","5515","LHR","EGLL","5","2023-06-06 14:35","JFK","KJFK",475
"AA","AAL","AA6655","AAL6655","6655","LHR","EGLL","5","2023-06-06 14:15","BLR","VOBL",600
"UA","UAL","UA9739","UAL9739","9739","LHR","EGLL","2","2023-06-06 14:25","GVA","LSGG",100
"BA","BAW","BA1334","BAW1334","1334","LHR","EGLL","5","2023-06-06 14:30","NCL","EGNT",75
"EI","EIN","EI8919","EIN8919","8919","LHR","EGLL","5","2023-06-06 14:45","DEN","KDEN",590
"AY","FIN","AY5413","FIN5413","5413","LHR","EGLL","5","2023-06-06 14:40","BOS","KBOS",440
"KL","KLM","KL4822","KLM4822","4822","LHR","EGLL","3","2023-06-06 14:40","JFK","KJFK",485
"QR","QTR","QR2243","QTR2243","2243","LHR","EGLL","3","2023-06-06 14:40","MIA","KMIA",566
"IB","IBE","IB7447","IBE7447","7447","LHR","EGLL","5","2023-06-06 14:40","PHX","KPHX",650
"BA","BAW","BA566","BAW566","566","LHR","EGLL","5","2023-06-06 14:40","MXP","LIMC",120
"DL","DAL","DL9167","DAL9167","9167","LHR","EGLL","4","2023-06-06 14:45","AMS","EHAM",75
"AC","ACA","AC6919","ACA6919","6919","LHR","EGLL","2","2023-06-06 14:45","SNN","EINN",85
"XY","KNE","XY3020","KNE3020","3020","LHR","EGLL","4","2023-06-06 14:50","AUH","OMAA",410
"AA","AAL","AA6667","AAL6667","6667","LHR","EGLL","5","2023-06-06 15:00","HYD","VOHS",585
"UA","UAL","UA263","UAL263","263","LHR","EGLL","2","2023-06-06 14:50","DEN","KDEN",580
"RO","ROT","RO392","ROT392","392","LHR","EGLL","4","2023-06-06 14:50","OTP","LROP",200
"QF","QFA","QF3556","QFA3556","3556","LHR","EGLL","5","2023-06-06 14:30","EDI","EGPH",90
"IB","IBE","IB7758","IBE7758","7758","LHR","EGLL","5","2023-06-06 15:05","BNA","KBNA",540
"QR","QTR","QR9685","QTR9685","9685","LHR","EGLL","3","2023-06-06 15:00","VLC","LEVC",145
"AC","ACA","AC6946","ACA6946","6946","LHR","EGLL","2","2023-06-06 14:35","STR","EDDS",95
"AC","ACA","AC6952","ACA6952","6952","LHR","EGLL","2","2023-06-06 14:45","CGN","EDDK",80
"MS","MSR","MS778","MSR778","778","LHR","EGLL","2","2023-06-06 15:00","CAI","HECA",280
"AH","DAH","AH2055","DAH2055","2055","LHR","EGLL","4","2023-06-06 15:00","ALG","DAAG",175
"IB","IBE","IB7445","IBE7445","7445","LHR","EGLL","5","2023-06-06 14:05","SFO","KSFO",665
"QR","QTR","QR4","QTR4","4","LHR","EGLL","4","2023-06-06 15:05","DOH","OTHH",405
"CZ","CSN","CZ7224","CSN7224","7224","LHR","EGLL","5","2023-06-06 15:05","PKX","ZBAD",690
"AA","AAL","AA6729","AAL6729","6729","LHR","EGLL","5","2023-06-06 15:05","MUC","EDDM",125
"AC","ACA","AC6184","ACA6184","6184","LHR","EGLL","2","2023-06-06 15:05","VIE","LOWW",135
"AC","ACA","AC6899","ACA6899","6899","LHR","EGLL","2","2023-06-06 15:10","DUB","EIDW",85
"JL","JAL","JL7793","JAL7793","7793","LHR","EGLL","5","2023-06-06 15:10","LIS","LPPT",165
"AY","FIN","AY5423","FIN5423","5423","LHR","EGLL","5","2023-06-06 15:15","SJC","KSJC",660
"UA","UAL","UA9634","UAL9634","9634","LHR","EGLL","2","2023-06-06 14:50","HAM","EDDH",90
"QR","QTR","QR2646","QTR2646","2646","LHR","EGLL","3","2023-06-06 15:15","JFK","KJFK",469
"AA","AAL","AA6594","AAL6594","6594","LHR","EGLL","3","2023-06-06 15:15","SOF","LBSF",190
"AA","AAL","AA8396","AAL8396","8396","LHR","EGLL","4","2023-06-06 15:15","TLV","LLBG",285
"BA","BAW","BA838","BAW838","838","LHR","EGLL","5","2023-06-06 15:15","CFU","LGKR",190
"VS","VIR","VS4019","VIR4019","4019","LHR","EGLL","3","2023-06-06 15:10","SLC","KSLC",630
"AA","AAL","AA6894","AAL6894","6894","LHR","EGLL","5","2023-06-06 14:55","NCE","LFMN",125
"AA","AAL","AA6610","AAL6610","6610","LHR","EGLL","5","2023-06-06 15:20","BLQ","LIPE",130
"AA","AAL","AA6827","AAL6827","6827","LHR","EGLL","3","2023-06-06 15:20","OSL","ENGM",130
"LH","DLH","LH9356","DLH9356","9356","LHR","EGLL","2","2023-06-06 15:20","ORD","KORD",535
"IB","IBE","IB7417","IBE7417","7417","LHR","EGLL","5","2023-06-06 15:20","MEX","MMMX",685
"BA","BAW","BA568","BAW568","568","LHR","EGLL","5","2023-06-06 15:30","LIN","LIML",125
"LH","DLH","LH909","DLH909","909","LHR","EGLL","2","2023-06-06 15:30","FRA","EDDF",95
"IB","IBE","IB7327","IBE7327","7327","LHR","EGLL","5","2023-06-06 15:30","PDX","KPDX",590
"BA","BAW","BA1346","BAW1346","1346","LHR","EGLL","5","2023-06-06 15:30","JER","EGJJ",65
"QR","QTR","QR9754","QTR9754","9754","LHR","EGLL","5","2023-06-06 15:35","BHD","EGAC",85
"AA","AAL","AA6869","AAL6869","6869","LHR","EGLL","5","2023-06-06 15:35","GVA","LSGG",100
"AY","FIN","AY5537","FIN5537","5537","LHR","EGLL","5","2023-06-06 15:35","ORD","KORD",520
"SL","SZS","SL806","SZS806","806","LHR","EGLL","2","2023-06-06 15:35","OSL","ENGM",135
"BA","BAW","BA614","BAW614","614","LHR","EGLL","5","2023-06-06 15:35","BDS","LIBR",180
"DL","DAL","DL21","DAL21","21","LHR","EGLL","3","2023-06-06 15:25","SEA","KSEA",630
"AM","AMX","AM7678","AMX7678","7678","LHR","EGLL","3","2023-06-06 15:40","MCO","KMCO",561
"VS","VIR","VS6717","VIR6717","6717","LHR","EGLL","4","2023-06-06 15:40","CDG","LFPG",80
"IB","IBE","IB7429","IBE7429","7429","LHR","EGLL","5","2023-06-06 15:45","LAX","KLAX",670
"IB","IBE","IB3177","IBE3177","3177","LHR","EGLL","5","2023-06-06 15:50","MAD","LEMD",150
"BA","BAW","BA159","BAW159","159","LHR","EGLL","3","2023-06-06 15:50","BDA","TXKF",435
"BA","BAW","BA450","BAW450","450","LHR","EGLL","5","2023-06-06 15:50","PMI","LEPA",145
"AA","AAL","AA6466","AAL6466","6466","LHR","EGLL","5","2023-06-06 15:30","DUS","EDDL",85
"QR","QTR","QR5954","QTR5954","5954","LHR","EGLL","5","2023-06-06 15:40","HAM","EDDH",100
"A3","AEE","A33055","AEE3055","3055","LHR","EGLL","2","2023-06-06 15:55","YYZ","CYYZ",475
