"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"United Airlines","Newark Liberty International Airport","YYZ","2023-06-14 14:45",12,46,"International"
"Air Canada","Washington Dulles International Airport","YYZ","2023-06-14 14:45",6,75,"International"
"Westjet","La Guardia Airport","YYZ","2023-06-14 14:50",19,24,"International"
"United Airlines","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-14 14:50",12,46,"Domestic"
"Westjet","Calgary International Airport","YYZ","2023-06-14 15:00",18,24,"Domestic"
"Westjet","Vancouver International Airport","YYZ","2023-06-14 15:00",15,24,"Domestic"
"Aer Lingus","Chicago O'Hare International Airport","YYZ","2023-06-14 15:00",12,3,"International"
"Air Canada","Logan International Airport","YYZ","2023-06-14 14:50",4,75,"International"
"Air Canada","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 15:00",15,75,"Domestic"
"Egyptair","Calgary International Airport","YYZ","2023-06-14 14:40",18,5,"Domestic"
"Air Canada","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-14 15:10",11,75,"Domestic"
"British Airways","Chicago O'Hare International Airport","YYZ","2023-06-14 15:14",12,4,"International"
"Air Canada Rouge","Greater Moncton International Airport","YYZ","2023-06-14 15:15",2,19,"Domestic"
"Caspian Airlines","Greater Moncton International Airport","YYZ","2023-06-14 15:15",2,19,"Domestic"
"Air Canada","Edmonton International Airport","YYZ","2023-06-14 14:50",13,75,"Domestic"
"Emirates","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 15:25",15,10,"Domestic"
"Emirates","Halifax Stanfield International Airport","YYZ","2023-06-14 15:25",9,10,"Domestic"
NA,"La Guardia Airport","YYZ","2023-06-14 15:29",19,2,"International"
"Qatar Airways","Philadelphia International Airport","YYZ","2023-06-14 15:35",6,2,"International"
"SkyWest Airlines","John F. Kennedy International Airport","YYZ","2023-06-14 14:30",6,3,"International"
"United Airlines","Newark Liberty International Airport","YYZ","2023-06-14 15:45",12,46,"International"
"Westjet","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-14 15:50",11,24,"Domestic"
"Air Canada","Jean Lesage International Airport","YYZ","2023-06-14 15:50",5,75,"Domestic"
"Mesa Airlines","George Bush Intercontinental Airport","YYZ","2023-06-14 15:55",3,1,"International"
"Air Canada","Los Angeles International Airport","YYZ","2023-06-14 15:55",6,75,"International"
"Flair Airlines","Saskatoon John G. Diefenbaker International Airport","YYZ","2023-06-14 15:55",3,9,"Domestic"
"Caribbean Airlines","Norman Manley International Airport","YYZ","2023-06-14 15:55",2,1,"International"
"American Airlines","Charlotte Douglas International Airport","YYZ","2023-06-14 15:59",4,7,"International"
"United Airlines","Chicago O'Hare International Airport","YYZ","2023-06-14 16:00",12,46,"International"
"Lufthansa","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 16:00",15,8,"Domestic"
"Lufthansa Cargo","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 16:00",15,8,"Domestic"
"Air Canada","La Guardia Airport","YYZ","2023-06-14 16:00",19,75,"International"
"Jazz Aviation","Thunder Bay International Airport","YYZ","2023-06-14 16:05",3,26,"Domestic"
"United Airlines","Lambert-St. Louis International Airport","YYZ","2023-06-14 16:05",2,46,"International"
"Lufthansa","London International Airport","YYZ","2023-06-14 16:05",3,8,"Domestic"
"Lufthansa Cargo","London International Airport","YYZ","2023-06-14 16:05",3,8,"Domestic"
"United Airlines","Ben Gurion International Airport","YYZ","2023-06-14 16:10",1,46,"International"
"Austrian","Calgary International Airport","YYZ","2023-06-14 16:10",18,12,"Domestic"
"Austrian","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-14 16:10",11,12,"Domestic"
"Air New Zealand","Vancouver International Airport","YYZ","2023-06-14 16:15",15,2,"Domestic"
"United Airlines","Denver International Airport","YYZ","2023-06-14 16:18",4,46,"International"
"Air Canada Rouge","Orlando International Airport","YYZ","2023-06-14 16:25",3,19,"International"
"Caspian Airlines","Orlando International Airport","YYZ","2023-06-14 16:25",3,19,"International"
"Jazz Aviation","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-14 16:30",6,26,"International"
"Jazz Aviation","Ronald Reagan Washington National Airport","YYZ","2023-06-14 16:30",4,26,"International"
"Jazz Aviation","Newark Liberty International Airport","YYZ","2023-06-14 16:30",12,26,"International"
"Jazz Aviation","North Bay/Jack Garland Airport","YYZ","2023-06-14 16:30",1,26,"Domestic"
"Air New Zealand","San Francisco International Airport","YYZ","2023-06-14 16:30",4,2,"International"
"Westjet","Calgary International Airport","YYZ","2023-06-14 16:30",18,24,"Domestic"
"Sunwing Airlines","Juan Gualberto Gomez International Airport","YYZ","2023-06-14 16:30",1,4,"International"
"Air Canada Rouge","Tampa International Airport","YYZ","2023-06-14 08:15",1,19,"International"
"Caspian Airlines","Tampa International Airport","YYZ","2023-06-14 08:15",1,19,"International"
"Westjet","Calgary International Airport","YYZ","2023-06-14 16:33",18,24,"Domestic"
"Austrian","Edmonton International Airport","YYZ","2023-06-14 16:40",13,12,"Domestic"
"Air France","John F. Kennedy International Airport","YYZ","2023-06-14 16:44",6,3,"International"
"Air Canada Rouge","Juan Santamaria International Airport","YYZ","2023-06-14 16:45",1,19,"International"
"Caspian Airlines","Juan Santamaria International Airport","YYZ","2023-06-14 16:45",1,19,"International"
"Cathay Pacific Airways","Hong Kong International Airport","YYZ","2023-06-14 15:55",1,4,"International"
"United Airlines","Dallas/Fort Worth International Airport","YYZ","2023-06-14 16:45",5,46,"International"
"Air Canada","Windsor Airport","YYZ","2023-06-14 16:50",3,75,"Domestic"
"Cathay Pacific Airways","St. John's International Airport","YYZ","2023-06-14 16:50",4,4,"Domestic"
"Jazz Aviation","Nashville International Airport","YYZ","2023-06-14 16:50",3,26,"International"
"United Airlines","Frankfurt Airport","YYZ","2023-06-14 16:50",3,46,"International"
"United Airlines","Pittsburgh International Airport","YYZ","2023-06-14 16:55",1,46,"International"
"Avianca","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 17:00",15,3,"Domestic"
