"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
NA,"Guadalajara International Airport","LAX","2023-06-06 19:11",24,39,"International"
"United Airlines","Zurich Airport","LAX","2023-06-06 19:25",3,10,"International"
"Aeromexico","Seattle-Tacoma International Airport","LAX","2023-06-06 19:45",3,23,"Domestic"
"British Airways","Dublin Airport","LAX","2023-06-06 20:15",4,14,"International"
NA,"Daniel K. Inouye International Airport","LAX","2023-06-06 20:30",19,6,"Domestic"
NA,"Guadalajara International Airport","LAX","2023-06-06 20:30",24,39,"International"
"Avianca","El Dorado International Airport","LAX","2023-06-06 20:45",4,12,"International"
"American Airlines","London Heathrow Airport","LAX","2023-06-06 20:55",38,69,"International"
"Air France","London Heathrow Airport","LAX","2023-06-06 20:25",38,23,"International"
"Delta Air Lines","Jorge Chavez International Airport","LAX","2023-06-06 21:10",7,32,"International"
"American Airlines","Brisbane Airport","LAX","2023-06-06 21:20",4,69,"International"
"Air Canada","Auckland International Airport","LAX","2023-06-06 22:00",4,9,"International"
"LOT - Polish Airlines","Warsaw Chopin Airport","LAX","2023-06-06 22:05",5,5,"International"
"EVA Airways","Tocumen International Airport","LAX","2023-06-06 22:06",10,14,"International"
"American Airlines","Melbourne Airport","LAX","2023-06-06 22:20",4,69,"International"
"Delta Air Lines","McCarran International Airport","LAX","2023-06-06 22:40",8,32,"Domestic"
"Air France","London Heathrow Airport","LAX","2023-06-06 22:50",38,23,"International"
"American Airlines","Sydney International Airport","LAX","2023-06-06 22:54",9,69,"International"
"Copa Airlines","Incheon International Airport","LAX","2023-06-06 23:00",23,7,"International"
"Aeromexico","Incheon International Airport","LAX","2023-06-06 23:30",23,23,"International"
"American Airlines","Sydney International Airport","LAX","2023-06-06 23:40",9,69,"International"
"Philippine Airlines","Ninoy Aquino International Airport","LAX","2023-06-06 23:40",9,9,"International"
"Singapore Airlines","Singapore Changi Airport","LAX","2023-06-06 23:40",5,14,"International"
"Air France","Fa'a'a International Airport","LAX","2023-06-06 23:50",7,23,"International"
"Air China","Shenzhen Bao'an International Airport","LAX","2023-06-06 23:50",1,1,"International"
"American Airlines","Nadi International Airport","LAX","2023-06-06 23:55",4,69,"International"
"American Airlines","Fa'a'a International Airport","LAX","2023-06-06 23:55",7,69,"International"
